shortcut,generalFarsi,generalEnglish,technicalFarsi,technicalEnglish
ریفاند,"با سلام و احترام،

پیرو اطلاع‌رسانی قبلی مبنی بر توقف ادامه فعالیت در قالب پراپفرم و در راستای تعهدات اخلاقی مجموعه، با در نظر گرفتن شرایط اینترنت در ایران و عدم امکان فعالیت شما، بازپرداخت حساب مذکور مطابق وعده انجام شده است.

مبلغ مربوطه در حال حاضر به ولت شما در بروکر اپوفایننس منتقل گردیده است. لطفاً با استفاده از همان ایمیلی که در فوراف‌ایکس ثبت‌نام کرده‌اید، وارد حساب کاربری خود در اپوفایننس شده و مبلغ واریزی را در ولت اصلی مشاهده فرمایید. پس از تکمیل فرایند احراز هویت، امکان برداشت وجه برای شما فراهم خواهد بود.


با آرزوی موفقیت در ادامه ی مسیر معامله گری شما",,,
شماره حساب,"با سلام و احترام،


لطفا شماره حساب مورد نظر را ارسال بفرمایید.


با سپاس از همراهی شما",,,
بونس واریز شده,"با سلام و احترام؛


به اطلاع می رساند حساب بونس شماره 2916186 فعال بوده و مبلغ صد دلار بونس نیز به آن واریز شده است.


در صورت وجود سوال و یا نیاز به راهنمایی بیشتر مجددا با ما در تماس باشید.


با تشکر",,,
بررسی لجند,"با سلام و احترام،

به استحضار می‌رساند با توجه به دریافت حساب تکرار رایگان به شماره -، امکان انجام درخواست بررسی برای حساب شماره - وجود ندارد.

موفق باشید",,,
Virtual Private Server (VPS) Information and Connection Guide,,"Dear Client,
We have sent the details for your Virtual Private Server (VPS) provided by
Opofinance to your email. 
To connect to your VPS, you can use the guide below. Please note that the server
is accessible via both computer and mobile devices.
**Quick Connection Guide to VPS:**
1. On your desktop, click on the search magnifying glass on the taskbar at the
bottom of the screen. Then, search for ""REMOTE DESKTOP CONNECTION"" and open the
application.
2. In the application, click on the ""SHOW OPTION"" button.
3. In the ""Computer"" field, copy and paste the IP address that has been sent to
you.
4. In the ""Username"" field, enter ""USER"".
5. Click on the ""Connect"" option.
6. Next, copy and paste your password exactly as it appears in the email you
received.
7. Finally, click ""YES"" to enter the server environment.
Once connected, you will find that the MetaTrader platform from Opofinance is
pre-installed for your convenience. You can connect your account and begin
trading.
Wishing you success and good health.


Best regards,
Opofinance Team",,
اتصال MT5 بعد میگریشن,"با سلام و احترام،

راهنمای ورود به حساب پس از تغییر سرور در پلتفرم MT5:

لطفاً برای ورود مجدد به حساب معاملاتی خود، مراحل زیر را دنبال فرمایید:

۱. در بخش سرور (Server)، عبارت Opo Group را جستجو کنید.

۲. از میان نتایج جستجو، گزینه‌ی .Opo group LLC (توجه فرمایید که این گزینه دارای نقطه در انتهای نام است) را انتخاب نمایید. (تصویر ۱)

۳. با شماره لاگین و رمز عبور قبلی خود وارد حساب شوید.

۴. پس از چند ثانیه، صفحه‌ای جدید نمایش داده خواهد شد. روی گزینه‌ی Continue کلیک کنید.

۵. در صفحه‌ی بعد (تصویر آخر)، رمز عبور جدید خود را تعیین نمایید.

لطفاً رمز جدید خود را در جایی امن ذخیره کرده و به خاطر بسپارید.

در صورت بروز هرگونه مشکل یا نیاز به راهنمایی، تیم پشتیبانی FORFX در کنار شماست.

با سپاس از همراهی شما",,,
بررسی ۲,"با سلام و احترام،

به استحضار می‌رساند مورد مذکور جهت بررسی دقیق به واحد فنی ارجاع داده شده است. با توجه به حجم درخواست‌های در حال بررسی، این فرآیند ممکن است اندکی زمان‌بر باشد.
نتیجه بررسی در اولین فرصت از طریق همین مسیر به اطلاع شما خواهد رسید.

با تشکر از شکیبایی شما،
تیم پشتیبانی اپوفایننس",,,
چهارده روز سواپ فری,"با سلام و احترام؛


به اطلاع می رساند در حساب های سواپ فری پس از تایید درخواست٬ به معاملات تا ۱۴ روز
از زمان باز شدن معامله سواپ تعلق نمی گیرد و کلیه معاملات باز از روز پانزدهم شامل
سواپ خواهند شد.
در صورت نیاز به راهنمایی بیشتر مجددا با ما در تماس باشید.


با تشکر",,,
ارجاع به سوشال ترید,"با سلام و احترام ،

لطفا موارد مربوط به سوشیال ترید را به پشتیبانی سوشیال ترید از طریق لایو چت
(پشتیبانی چت آنلاین) به صورت تیکت ، و یا به آدرس ایمیل 
socialtrading@opofinance.com ارسال نمایید.
همکاران ما در پشتیبانی سوشیال ترید شما را در این زمینه راهنمایی خواهند کرد.

با تشکر",,,
ریسک شناور عدم چشم پوشی,"با سلام و احترام،

به اطلاع می‌رساند مطابق با قوانین درج‌شده، برای خریدهایی که از تاریخ دوم مارچ ۲۰۲۶ به بعد انجام شده‌اند، اسلیپج در خصوص رسیدن به ریسک شناور قابل چشم‌پوشی نمی‌باشد.

لینک قانون مربوطه [https://forfx.com/fa/general-rules-fa/flr/?s=%25D8%25B1%25DB%258C%25D8%25B3%25DA%25A9+%25D8%25B4%25D9%2586%25D8%25A7%25D9%2588%25D8%25B1]

اسلیپیج و واید شدن اسپرد ممکن است در زمان انتشار اخبار مهم، وقوع گپ‌های قیمتی، یا نوسانات شدید بازار رخ دهد و این پدیده کاملاً طبیعی و غیرقابل اجتناب در بازارهای مالی است. این شرایط معمولاً به دلیل عدم تطابق لحظه‌ای بین تقاضا و عرضه در بازار رخ می‌دهد.

انواع اسلیپیج
اسلیپیج منفی: سفارش در قیمتی بدتر از قیمت مورد نظر اجرا می شود (مثلاً خرید در 101 دلار به جای 100 دلار).
اسلیپیج مثبت: سفارش در قیمتی بهتر از قیمت مورد نظر اجرا می شود (مثلاً خرید در 99 دلار به جای 100 دلار).


اسلیپیج بخش جدایی ناپذیر بازارهای مالی است و تنها در زمان انتشار اخبار رخ نمی دهد، بلکه در شرایطی مانند کاهش نقدینگی یا حرکات شدید بازار نیز امری کاملا طبیعی میباشد.

لازم به ذکر است که فوراف ایکس هیچ‌گونه مسئولیتی در قبال وقوع این موارد ندارد، زیرا این پدیده‌ها به عنوان بخشی از ماهیت طبیعی بازارهای مالی و معاملاتی محسوب می‌شوند. توصیه می‌شود معامله‌گران در زمان‌هایی که احتمال نوسانات شدید وجود دارد، مدیریت ریسک خود را به طور جدی مد نظر قرار دهند.

لینک قانون مربوطه [https://forfx.com/fa/general-rules-fa/sllippage/?s=%25D8%25A7%25D8%25B3%25D9%25BE%25D8%25B1%25D8%25AF]

از درک و همراهی شما سپاسگزاریم و برای شما آرزوی موفقیت و پیروزی داریم.",,,
حذف پراپ ۱,"با سلام و احترام،

به اطلاع می‌رساند به دلیل بروزرسانی سرورهای حساب‌های پراپ لایو، در حال حاضر امکان حذف حساب مورد نظر وجود ندارد.
به درخواست شم�� بلافاصله پس از اتمام بروزرسانی رسیدگی خواهد شد.

پیشاپیش از صبر و شکیبایی شما صمیمانه سپاسگزاریم.

با تشکر.",,,
ریسک شناور تکنیکال,"با سلام و احترام،

حساب شماره -- مورد بررسی قرار گرفت و نتیجه به شرح زیر می باشد:

حساب مذکور به ریسک شناور رسیده و به درستی بریچ اعلام شده است.

موجودی حساب هنگام باز شدن آخرین معامله --$ بود�� و حد ریسک شناور --$ بوده است.

در حال حاضر با ضررهای کسب شده بالانس حساب --$ می باشد که از حد ریسک شناور عبور کرده است.

با سپاس از همراهی شما",,,
Buy VPS services,,"Dear Client,


We are excited to inform you about our Free VPS Offer! You can receive a complimentary VPS based on your deposit balance. Please note that to maintain the server, your account balance must remain above the minimum required amount. If your balance falls below this threshold due to withdrawals, the VPS will stop and be removed within 24 hours.


To acquire a VPS or purchase one, follow these steps:
1. Select your preferred server option from the list below.
2. Transfer the server fee to your primary wallet (if purchasing).
3. Send your server request to support@opofinance.com.


Our technical team will process your request, deduct the server fee (if applicable), and provide you with the server details.


Important Notes:
• VPS usage duration is 30 days. You can renew your VPS by maintaining the required balance or recharging your wallet.
• Deposits and withdrawals after obtaining the VPS may affect eligibility.


Server Options


Bronze
•Free: $2,000 deposit
•Purchase Price: $15
• RAM: 4 GB | CPU: 2 Core | Disk: 40 GB


Silver
•Free: $4,000 deposit
•Purchase Price: $30
• RAM: 8 GB | CPU: 4 Core | Disk: 80 GB


Gold
•Free: $8,000 deposit
•Purchase Price: $50
• RAM: 16 GB | CPU: 8 Core | Disk: 160 GB


Platinum
•Free: $20,000 deposit
•Purchase Price: $80
• RAM: 16 GB | CPU: 8 Core | Disk: 240 GB


Diamond
•Free: $50,000 deposit
•Purchase Price: $120
• RAM: 32 GB | CPU: 16 Core | Disk: 320 GB


Elite
•Free: $100,000 deposit
•Purchase Price: $200
• RAM: 32 GB | CPU: 16 Core | Disk: 360 GB


If you have any questions or need assistance, feel free to contact us.


Best regards,
Opofinance Support Team",,
فری تریال توضیح,"با سلام و احترام،

این حساب تنها برای تست حسابی هست که مایل به خرید آن هستید و هیچ ارزش دیگری ندارد.

نکته مهم:
*ساخت این حساب هیچ هزینه ای ندارد و فاقد هرگونه ارزش در جهت رسیدن به تارگت سود است
*این حساب معاملاتی آزمایشی به مدت ۳ روز فعال و قابل استفاده است.

با سپاس از همراهی شما",,,
abuse response,,"Dear Client,
Please contact us at backoffice@opofinance.com to follow up on this matter.


Best regards.",,
فعالسازی امکان معامله,"با سلام و احترام ،

جهت فعالسازی گزینه ی ترید و انجام معامله در حساب معاملاتی خود ، لطفا موارد زیر
را بررسی نمایید:

۱- از اینکه با پسورد اصلی وارد حساب خود شده اید اطمینان حاصل نمایید. (از پسورد
اینوستور استفاده نکنید).

۲- اطمینان حاصل کنید که حداقل واریز اولیه حساب معاملاتی را انجام داده اید. 
*حداقل واریز اولیه برای حساب استاندارد و ECN مبلغ ۱۰۰ دلار
*حداقل واریز اولیه ب��ای حساب سوشیال ترید مبلغ ۲۰۰ دلار
*حداقل واریز اولیه برای حساب ECN PRO مبلغ ۵۰۰۰ دلار

۳- اطمینان حاصل کنید که نماد مخصوص به حساب معاملاتی خود را به لیست نمادهایتان
اضافه کردید.
* نمادهای دارای علامت ( ! ) برای حساب استاندارد مانند !EURUSD
*نمادهای دارای علامت ( . ) برای حساب ECN مانند .EURUSD
* نمادهای دارای علامت ( # ) برای حساب سوشیال ترید مانند #EURUSD
* نمادهای بدون علامت برای حساب ECN PRO مانند EURUSD

۴- اطمینان حاصل کنید که حساب شما به درستی به متاتریدر متصل شده است.
*وضعیت کانکشن خود را در گوشه سمت راست پایین صفحه در متاتریدر می توانید مشاهده
نمایید.

۵- از وضعیت اتصال اینترنت خود اطمینان حاصل نمایید.

با تشکر.",,,
فعالسازی ریسک شناور,"با سلام و احترام،

حساب معاملاتی به شماره ی ----- به دلیل نقض قانون ریسک شناور بر اثر اسلیپیج بریچ شده است.

بر طبق قانون اعلامی در وبسایت مجدد بازگشایی می شود.

شما میتوانید معاملات خود را از سر بگیرید

سپاس از همراهی شما",,,
اشتراک,"با سلام و احترام،

در زمان مقتضی، تمامی موارد مورد نیاز به‌طور کامل بررسی خواهند شد. در صورت مشاهده هرگونه اشترا��، حساب از جنبه‌های مختلف به‌دقت ارزیابی می‌گردد. با توجه به قوانین درج‌شده در وب‌سایت، مسئولیت هرگونه اشتراک، به‌طور کامل بر عهده کاربر خواهد بود.

با سپاس از همراهی شما",,,
احراز هویت,"با سلام و احترام ،

لطفا درخواست ها�� خود در زمینه های زیر را به آدرس ایمیل kyc@opofinance.com ارسال
نمایید :

* موارد مربوط به احراز هویت و بررسی مدارک ارسال شده 
* درخواست تغییر ایمیل ثبت شده در حساب کاربری 
* درخواست حذف حساب کاربری از سیستم اپوفایننس 
* موارد مربوط به مسدودیت حساب کاربری 

با تشکر",,,
Clear Cache,,"Dear Client,

To resolve this issue, please clear your browser cache or try using a different browser.
To clear cached data in Google Chrome after logging into your client area, please follow the steps below:

 1. Right-click anywhere on the page and select “Inspect.”
 2. Go to the “Application” tab.
 3. Expand the Local Storage, Session Storage and Cookies sections, right-click on the cache link, and select “Delete.”



After completing these steps, please reload the website.

Thank you.

Best regards,
Opofinance Support Team",,
اختلال واریز کریپتو,"با سلام و احترام؛

به اطلاع می رساند هش تراکنش ارسال شده توسط همکاران ما در حال بررسی بوده و در اولویت رسیدگی قرار دارد.

علت زمان بر شدن واریز به حساب کاربری شما، بررسی تراکنش توسط شبکه پرداخت کارگزاری می باشد که این موضوع ممکن است به دلایلی از جمله واریز از طریق صرافی های ایرانی، نامشخص بودن ولت مبدأ و یا سایر موارد مشابه رخ داده باشد.

پیشاپیش از صبر و شکیبایی شما در طول انجام این فرایند سپاسگزاریم.

با تشکر",,,
IB email,,"Dear Client;


Please send your request to the IB department at the following email address: 
partners@opofinance.com.


Best regards.",,
تغییر رمز حساب معاملاتی,"با سلام و احترام؛

لطفا جهت در��افت و یا تغییررمز ورود حساب معاملاتی٬ وارد پنل کاربری خود شوید و
مراحل زیر را اجرا نمایید.


Panel > Account review > More > Setting > Change password
با تشکر",,,
ticket,,"Dear Client,

Please send your account number and ticket number (transaction ID/number) for review. You can find your transaction or ticket number through your MetaTrader, in the Account History tab of the Terminal section.

Kindly note that the request must be sent from your registered (signed-up) email address for security and verification purposes.

Kind regards,
Opofinance Support Team",,
expire bonus,,"Dear Client,


We would like to inform you that the one-month validity period for the bonus associated with account number 12980125 expired on 2025.01.13, which has resulted in the deactivation of your account.


Should any new campaigns be launched in the future, all users will be promptly notified.


Best regards,",,
Forget login password,,"Dear client,


We are pleased to inform you that the registration process associated with the
email address (hm.mmsjhm4565@gmail.com) has been successfully completed. In
order to receive your password, we kindly request you to utilize the ""forgot
password"" feature and input your email address. This will enable a new PIN to be
sent to you, allowing for the password change process to be completed.


Should you require any further assistance, please do not hesitate to contact us.


Best regards.",,
مسابقه قوانین و جوایز,"با سلام و احترام،

جوایز مسابقه :
رتبه اول : حساب چالش دمو 200 هزار دلاری
رتبه دوم : حساب چالش دمو 100 هزار دلاری
رتبه سوم : حساب چالش دمو ۵۰ هزار دلاری
رتبه چهارم تا دهم : حساب چالش دمو ۲۵ هزار دلاری
رتبه یازدهم تا بیستم : حساب چالش دمو ۱۰ هزار دلاری
رتبه بیست و یکم تا پنجاه : حساب چالش دمو ۵ هزار دلاری


:قوانین
حداقل روزهای معاملاتی: ۴ روز
دراودان روزانه: ۵٪
دراودان کلی: ۱۰٪
اکسپرت: غیر مجاز
ریسک شناور: ۲٪
تارگت سود: بدون محدودیت
حداکثر حجم مجاز برای یک معامله و مجموع معاملات باز: ۵ لات برای هر دسته دارایی


مسابقه تا پایان ماه میلادی ادامه دارد و برندگان بر اساس بیشترین مقدار سود تعیین میشود

با سپاس از همراهی شما",,,
اتصال به متاتریدر ۵ موبایل و کامپیوتر,"با سلام و احترام،

برای اتصال به متاتریدر ۵ نسخه موبایل:

در قسمت ""setting"" به روی گز��نه new account کلیک کنید و پس از آن login to an existing account را انتخاب بفرمایید و در قسمت سرچ Opo Group را سرچ کنید. از میان نتایج جستجو، گزینه‌ی .Opo group LLC را انتخاب کرده و پس از آن در قسمت login شماره حساب معاملاتی و در قسمت پسورد، پسورد حساب را وارد بفرمایید. همچنین مطمئن شوید که سرور را OpogroupLLC_Server2 انتخاب فرموده باشید.

برای اتصال به متاتریدر ۵ نسخه کامپیوتر:

به قسمت FILE مراجعه کرده و گزینه OPEN AN ACCOUNT را انتخاب بفرمایید و در قسمت سرچ عبارت OPOGROUP را وارد کرده و گزینه Find your company را بزنید. سپس سرور .Opo group LLC را انتخاب کنید و بر روی عبارت Next کلیک نمایید و گزینه ی Connect with an existing trade account را فعال نمایید و یوزر و پسورد حساب معاملاتی خود را وارد کرده و کلید Finish را بزنید. همچنین مطمئن شوید که سرور را OpogroupLLC_Server2 انتخاب فرموده باشید.

با سپاس از همراهی شما",,,
حذف حساب,"با سلام و احترام؛


لطفا جهت حذف حساب٬ شماره حساب های خود را ذکر نمایید.


با تشکر",,,
statement,,"Dear Client,


Please follow the steps below to access your account statement in MT:
1. Open the Terminal Tab.
2. Navigate to the History Tab.
3. Right-click on any random position.
4. Select ""Save"" to save the details as a report.
5. Save the file.
By following these steps, you will be able to obtain a full statement of your
account.


Best regards.",,
میگریشن شماره حساب بدن,"با سلام و احترام،

لطفاً شماره حساب‌های فعال خود را ارسال فرمایید تا جهت تنظیم رمز عبور جدید، به تیم فنی ارجاع داده شوند.

پس از انجام مراحل لازم، ایمیلی حاوی اطلاعات ورود جدید برای شما ارسال خواهد شد.

این فرآیند ممکن است اندکی زمان‌بر باشد.

پیشاپیش از همراهی، شکیبایی و اعتماد ارزشمندتان صمیمانه سپاسگزاریم.",,,
مسابقه مهلت تموم شده,"با سلام و احترام،

مهلت شرکت در مسابقه به پایان رسیده است و امکان شرکت در آن وجود ندارد.

لطفا در مسابقات بعدی به مهلت ثبت نام در مسابقه توجه داشته باشید.

با سپاس از همراهی شما.",,,
تایید بونس ۳۰ درصدی,"با سلام و احترام،

با توجه به قرار گرفتن شما در کمپین بونس ۳۰ درصدی و عدم مشاهده شرایط و مقررات مربوط به واریز بونس در پنل کاربری، شرایط و مقررات استفاده از این بونس به پیوست برای شما ارسال می‌گردد.

خواهشمند است در صورت موافقت، تاییدیه خود را در پاسخ به این ایمیل ارسال فرمایید.

با تشکر",,,
bonus conditios,,"Dear client,


Please note that the terms for withdrawing profits from the bonus account are as follows:
 1. Completion of 25 lots of trades in the account (trades lasting over 120 seconds and with a difference of 3 pips, excluding cryptocurrency and stock and hedge trades).
 2. A minimum profit of $100 from trading.

Best regards.",,
Change account password,,"Dear client;


To receive the trading account login password, please follow these steps:
1. Log in to your user panel.
2. Go to ""Accounts"" and click on the small arrow in front of the account.
3. Select ""Settings"" from the dropdown menu.
4. Choose the option to ""Change password"".
By following these steps, you will be able to receive your trading account login
password.


Best regards.",,
عدم حذف حساب های دمو,"با سلام و احترام؛

به استحضار می‌رساند به دلیل وجود محدودیت در ایجاد حساب‌های دمو، امکان حذف حساب‌های مذکور در حال حاضر وجود ندارد. خواهشمند است جهت ادامه فعالیت، از سایر حساب‌های خود استفاده فرمایید.

بدیهی است در صورت نیاز به شارژ حساب‌های دمو موجود، می‌توانید درخواست خود را به همراه مبلغ مورد نظر برای ما ارسال نمایید تا اقدامات لازم انجام پذیرد.

با تشکر",,,
Call request,,"Dear Client,


We would like to inform you that your request has been forwarded to the IB
department. Our team will contact you during our working hours, from 9 AM to 5
PM (GMT+3).


Thank you,
Opofinance Support Team",,
آی بی سواپ فارسی,"با سلام و احترام؛

لطفا جهت تغییر و یا ثبت IB مراحل زیر را انجام دهید:

۱) در پنل کاربری خود وارد قسمت profile شوید.
۲) در این قسمت بر روی گزینه opo IB Swap کلیک نمایی��.
۳) قوانین مربوط به تغییرات IB را تایید کنید.
۴) در کادر کلاینت ای دی مورد نظر را وارد کنید.
۵) در ادامه گزینه countinue رو بزنید و درخواست خود را ثبت نمایید.

لطفا توجه داشته باشید ثبت این درخواست تنها برای یک بار امکان پذیر می باشد و
حداکثر پس از گذشت ۲۴ساعت تایید خواهد شد. 
در صورت وجود سوال و یا نیاز به راهنمایی بیشتر٬ درخواست خود را برای همکاران ما در
بخش آی بی به ایمیل partners@opofinance.com ارسال نمایید.


��ا تشکر",,,
Meta-connections-mobile,,"Dear Client,

Thank you for reaching out. You can easily connect your demo or real account to the MetaTrader app on your mobile device by following the steps below:

For MetaTrader 4 / MetaTrader 5 (Android or iPhone):

 1. Open the MetaTrader 4 or MetaTrader 5 app.
 2. Tap Settings → New Account → Login to an Existing Account.
 3. In the search bar, type and select the appropriate server:
    * MetaTrader 5 (Standard Accounts): Opogroup-Server1
    * MetaTrader 5 (Bonus Accounts): OpogroupLLC-Server2
    * MetaTrader 4 (Real Accounts): OpogroupLLC-Real1
    * MetaTrader 4 (Demo Accounts): OpogroupLLC-Demo
 4. Enter your login number and password as provided in your account credentials email.
 5. Tap Login.



Your account will sync automatically, allowing you to trade seamlessly on your mobile device.

Best regards,
Opofinance Support Team",,
اکسپرت,"با سلام و احترام،

اکسپرت شما در سیستم ثبت شد.

لطفاً توجه داشته باشید که اکسپرت باید مطابق با قوانین FORFX عمل کند. عملکرد آن در پایان هر مرحله بررسی خواهد شد.

نکته: در اکسپرت کپی تریدینگ، حساب فاند شده فقط می تواند فرستنده باشد.
نکته: استفاده از اکسپرت معامله گر در حسابهای مسابقه، وایت و پیک اسکلپ ممنوع می باشد.
نکته: استفاده از اکسپرت مدیریت سرمایه در حسابهای پیک اسکلپ و وایت مشروط بر این است که قابلیت اتوترید نداشته باشد.

https://forfx.com/fa/general-rules-fa/banned-strategies [https://forfx.com/fa/general-rules-fa/banned-strategies]

با سپاس از همراهی شما",,,
تغییر مدیر حساب,"با سلام و احترام ،

به اطلاع می رساند برای تمامی کاربرانی که درکارگزاری اپوفای��نس ثبت نام انجام می
دهند ، یک مدیرحساب تعیین می گردد و
این مورد کاملا اتوماتیک بوده و توسط سیستم انجام می شود و امکان تغییر به صورت
دستی امکان پذیر نمی باشد. 

با تشکر",,,
اکسپرت اطلاعات,"با سلام و احترام،

لطفا وارد لینک زیر شده و پس از مطالعه اطلاعات خواسته شده را ارسال بفرمایید:
https://forfx.com/fa/general-rules-fa/ea-advisor/ [https://forfx.com/fa/general-rules-fa/ea-advisor/]

با سپاس از همراهی شما",,,
مشکل احراز هویت دو عاملی,"با سلام و احترام،


لطفاً مراحل زیر را انجام دهید:


1. به منوی اصلی برنامه Google Authenticator رفته، وارد تنظیمات (Settings) شوید، سپس گزینه تنظیم زمان برای کدها (Time Correction for Codes) را انتخاب کرده و همگام‌سازی (Sync Now) را بزنید.
2. کش مرورگر خود را پاک کرده و صفحه ورود را مجدداً بارگذاری کنید.
3. در صورت نیاز به غیرفعال کردن کد دو عاملی، لطفاً درخواست خود را از طریق ایمیل ثبت‌نامی به آدرس support@opofinance.com ارسال نمایید.


با تشکر از همکاری شما.
تیم پشتیبانی اپوفایننس.",,,
ریسک شناور اسلیپج بامداد,"با سلام و احترام،

به استخضار می رساند با توجه به اینکه زمان بسته شدن معامله تا ۳۰ دقیقه بعد از باز شدن بازار بوده است، امکان چشم پوشی از نقض حد مجاز ریسک شناور نمی باشد.

در صورتی که علت بریچ حساب اسلیپیج (Slippage) باشد و این اسلیپیج خارج از زمان اعلام اخبار اقتصادی مهم (اخبار قرمز) و رویدادهای مالی تأثیرگذار بر بازار، از جمله ساعت صفر بروکر، رخ داده باشد، این نقض قابل چشم پوشی بوده و حساب معاملاتی مجدداً فعال خواهد شد.

لینک قانون مربوطه [https://forfx.com/fa/general-rules-fa/flr/?s=%25D8%25B1%25DB%258C%25D8%25B3%25DA%25A9+%25D8%25B4%25D9%2586%25D8%25A7%25D9%2588%25D8%25B1]

موفق باشید",,,
ارسال درخواست با ایمیل ثبت نامی,"با سلام و احترام؛

لطفاْ درخواست خود را با ایمیلی که زمان ثبت نام وارد نموده اید٬ ارسال نمایید.
ایمیل ثبت نامی شما در زیر آمده است:


"" ""


با تشکر",,,
بررسی,"با سلام و احترام؛

به اطلاع می رساند این مورد جهت بررسی به واحد مربوطه ارجاع داده شد. پس از اتمام
بررسی نتیجه به اطلاع شما خواهد رسید.

با تشکر.",,,
پیش فرض,"با سلام و احترام؛


به اطلاع می رساند 


در صورت وجود سوال و یا نیاز به راهنمایی بیشتر مجددا با ما در تماس باشید.


با تشکر",,,
شماره تیکت,"با سلام و احترام،

لطفاً جهت بررسی، شماره حساب و شماره تیکت (شماره تراکنش/معامله) خود را ارسال فرمایید. شما می‌توانید شماره تیکت هر معامله را از طریق پلتفرم MetaTrader و از بخش Account History در قسمت Terminal مشاهده و استخراج نمایید.

همچنین توجه داشته باشید که به‌منظور رعایت موارد امنیتی و احراز هویت، درخواست باید از طریق ایمیل ثبت‌نام‌شده شما ارسال گردد.

با احترام،
تیم پشتیبانی اپوفایننس",,,
افتتاح حساب جدید,"با سلام و احترام؛


لطفا جهت بررسی این درخواست٬ مشخصات کامل حساب درخواستی از جمله نوع حساب٬ لوریج
حساب٬ نوع متاتریدر و دلیل نیاز به افتتاح این حساب را برای ما ارسال فرمایید.


با تشکر",,,
اکسپرت تایید بعد فاند,"با سلام و احترام،

بررسی اکسپرت جهت ثبت در سیستم، هنگام صدور حساب فاند شده انجام می‌شود. لطفاً شرایط استفاده از اکسپرت برای هر نوع حساب را در متن زیر مطالعه بفرمایید.

چالش‌های لجند – فلش – بلک:
در چالش‌های ذکر شده استفاده از اکسپرت و ربات‌ها محدودیتی ندارد، حتی اگر بیش از دو کاربر از یک اکسپرت و ربات استفاده کنند.

‍چالش پیک اسکلپ و حساب های سفید:
تنها می‌توان از اکسپرت های مدیریت سرمایه استفاده کرد و ربات های معامله گر بطور کامل ممنوع هستند.

حساب‌های فاندشده و حساب‌های چالش لایو:
استفاده از یک ربات معامله‌گر توسط دو یا چند کاربر در حساب‌های فاندشده و حساب‌های چالش لایو ممنوع است. نقض این قانون منجر به بسته شدن حساب‌های درگیر خواهد شد.

حساب فاند شده پیک اسکلپ:
به مانند قوانین مراحل چالش، تنها می‌توان از اکسپرت های مدیریت سرمایه استفاده کرد و ربات های معامله گر بطور کامل ممنوع هستند.

شرایط کلی

۱.۱. این شرایط و ضوابط (“شرایط”) برای تمام کاربرانی (“کاربران”) اعمال می شود که مایل به استفاده از Expert Advisors (“EAs”) در حساب های تامین شده خود در FORFX هس��ند.

۱.۲. با استفاده از یک EA در حساب تامین شده خود، شما موافقت می کنید که با این شرایط مطابقت داشته باشید.

ثبت نام و تأیید EA ها
۲.۱. قبل از استفاده از کلیه EA در حساب تامین شده خود (اعم از اکسپرت مدیریت سرمایه و ربات معامله‌گر)، ابتدا باید EA را با ارسال ایمیل به support@forfx.com با اطلاعات زیر در FORFX ثبت نام کنید:

نام EA
برند یا ارائه دهنده EA
استراتژی EA
تنظیمات پیکربندی خاص EA
نمادهایی که EA استفاده خواهد کرد
۲.۲. ثبت نام EA مشروط به بررسی و تأیید توسط FORFX است. قبل از استفاده از EA در حساب تامین شده خود، باید تاییدیه کتبی از FORFX دریافت کنید.

استفاده از EA های ثبت نشده
۳.۱. استفاده از EA در حساب تامین شده بدون ثبت نام و دریافت تاییدیه از FORFX به شدت ممنوع است.

۳.۲. در ص��رتی که FORFX تشخیص دهد که شما از یک EA ثبت نشده استفاده می کنید، FORFX حق دارد حساب تامین شده شما را بلافاصله نقض و خاتمه دهد.

مسئولیت های کاربر
۴.۱. کاربر مسئولیت دارد اطمینان حاصل کند که تمام اطلاعات ارائه شده در طی فرآیند ثبت نام EA دقیق و کامل است.

۴.۲. کاربر نباید از هیچ EA که توسط FORFX در حساب تامین شده خود تایید نشده است، استفاده کند.

نقض و خاتمه
۵.۱. هرگونه نقض این شرایط، از جمله استفاده از یک EA ثبت نشده، منجر به خاتمه فوری حساب تامین شده خواهد شد.

۵.۲. FORFX حق دارد هر اقدامی را که ضروری بداند، از جمله اقدامات قانونی علیه کاربرانی که این شرایط را نقض می کنند، انجام دهد.

اصلاحات در شرایط
۶.۱. FORFX حق دارد این شرایط را در هر زمان تغییر دهد. هرگونه تغییر در شرایط از طریق ایمیل یا وب سایت FORFX به کاربران اطلاع رسانی خواهد شد.

۶.۲. ادامه استفاده از EA در یک حساب تامین شده پس از هرگونه تغییر در شرایط، به معنای پذیرش آن تغییرات است.

با استفاده از EA در حساب تامین شده خود، تأیید می کنید که این شرایط و ضوابط را خوانده، درک کرده و موافقت می کنید که تحت آنها عمل کنید.

تأیید اکسپرت پس از ارسال ایمیل به این معناست که اکسپرت شما در سیستم ثبت شده و امکان استفاده از آن برای شما فراهم است.
با این حال، مسئولیت استفاده صحیح از اکسپرت، رعایت قوانین معاملاتی و اطمینان از مجاز بودن استراتژی‌های به‌کاررفته، کاملاً بر عهده معامله‌گر است.
توجه داشته باشید که ثبت اکسپرت به منزله تأیید عملکرد یا نتایج آن از سوی FORFX نیست.

با سپاس از همراهی شما.",,,
